央视频道,#genre#
4K,http://221.221.92.194:8888/rtp/239.3.1.249:8001?$北京联通
4K,http://222.129.32.236:9001/rtp/239.3.1.249:8001?$北京联通
华数4K,http://221.221.92.194:8888/rtp/239.3.1.236:2000?$北京联通
华数4K,http://222.129.32.236:9001/rtp/239.3.1.236:2000?$北京联通
欢笑剧场4K,http://221.198.182.240:8888/rtp/225.1.1.152:5002?$天津联通
搜狐4K,http://221.198.182.240:8888/rtp/225.1.2.190:5002?$天津联通
﻿﻿CCTV1-综合,http://222.129.32.236:9001/rtp/239.3.1.129:8008?$北京联通
﻿﻿CCTV1-综合,http://221.221.92.194:8888/rtp/239.3.1.129:8008?$北京联通
CCTV1-综合,http://222.188.160.183:4022/rtp/239.49.8.19:9614?$江苏电信
CCTV1-综合,http://180.103.165.86:8888/rtp/239.49.8.19:9614?$江苏电信
CCTV1-综合,http://49.83.246.235:7000/rtp/239.49.8.19:9614?$江苏电信
CCTV1-综合,http://49.77.40.88:8000/rtp/239.49.8.19:9614?$江苏电信
CCTV1-综合,http://180.107.15.88:2020/rtp/239.49.8.19:9614?$江苏电信
CCTV1-综合,http://221.198.182.240:8888/rtp/225.1.1.212:5002?$天津联通
CCTV1[5.1环绕声],http://221.198.182.240:8888/rtp/225.1.1.120:5002?$天津联通
CCTV2-财经,http://222.129.32.236:9001/rtp/239.3.1.60:8084?$北京联通
CCTV2-财经,http://221.221.92.194:8888/rtp/239.3.1.60:8084?$北京联通
CCTV2-财经,http://222.188.160.183:4022/rtp/239.49.8.50:9802?$江苏电信
CCTV2-财经,http://180.103.165.86:8888/rtp/239.49.8.50:9802?$江苏电信
CCTV2-财经,http://49.83.246.235:7000/rtp/239.49.8.50:9802?$江苏电信
CCTV2-财经,http://49.77.40.88:8000/rtp/239.49.8.50:9802?$江苏电信
CCTV2-财经,http://180.107.15.88:2020/rtp/239.49.8.50:9802?$江苏电信
CCTV2[5.1环绕声],http://221.198.182.240:8888/rtp/225.1.1.133:5002?$天津联通
CCTV3-综艺,http://222.129.32.236:9001/rtp/239.3.1.172:8001?$北京联通
CCTV3-综艺,http://221.221.92.194:8888/rtp/239.3.1.172:8001?$北京联通
CCTV3[5.1环绕声],http://221.198.182.240:8888/rtp/225.1.1.158:5002?$天津联通
CCTV4-国际,http://222.129.32.236:9001/rtp/239.3.1.105:8092?$北京联通
CCTV4-国际,http://222.129.32.236:9001/rtp/239.3.1.213:4220?$北京联通
CCTV4-国际,http://222.129.32.236:9001/rtp/239.3.1.214:4220?$北京联通
CCTV4-国际,http://221.221.92.194:8888/rtp/239.3.1.105:8092?$北京联通
CCTV4-国际,http://221.221.92.194:8888/rtp/239.3.1.213:4220?$北京联通
CCTV4-国际,http://221.221.92.194:8888/rtp/239.3.1.214:4220?$北京联通
CCTV4-国际,http://222.188.160.183:4022/rtp/239.49.8.51:9806?$江苏电信
CCTV4-国际,http://180.103.165.86:8888/rtp/239.49.8.51:9806?$江苏电信
CCTV4-国际,http://49.83.246.235:7000/rtp/239.49.8.51:9806?$江苏电信
CCTV4-国际,http://49.77.40.88:8000/rtp/239.49.8.51:9806?$江苏电信
CCTV4-国际,http://180.107.15.88:2020/rtp/239.49.8.51:9806?$江苏电信
CCTV4[5.1环绕声],http://221.198.182.240:8888/rtp/225.1.1.150:5002?$天津联通
CCTV5-体育,http://222.129.32.236:9001/rtp/239.3.1.173:8001?$北京联通
CCTV5-体育plus,http://222.129.32.236:9001/rtp/239.3.1.130:8004?$北京联通
CCTV5-体育,http://221.221.92.194:8888/rtp/239.3.1.173:8001?$北京联通
CCTV5-体育plus,http://221.221.92.194:8888/rtp/239.3.1.130:8004?$北京联通
CCTV5-体育,http://222.188.160.183:4022/rtp/239.49.8.75:8000?$江苏电信
CCTV5-体育plus,http://222.188.160.183:4022/rtp/239.49.8.18:9610?$江苏电信
CCTV5-体育,http://180.103.165.86:8888/rtp/239.49.8.75:8000?$江苏电信
CCTV5-体育plus,http://180.103.165.86:8888/rtp/239.49.8.18:9610?$江苏电信
CCTV5-体育,http://49.83.246.235:7000/rtp/239.49.8.75:8000?$江苏电信
CCTV5-体育plus,http://49.83.246.235:7000/rtp/239.49.8.18:9610?$江苏电信
CCTV5-体育,http://49.77.40.88:8000/rtp/239.49.8.75:8000?$江苏电信
CCTV5-体育plus,http://49.77.40.88:8000/rtp/239.49.8.18:9610?$江苏电信
CCTV5-体育,http://180.107.15.88:2020/rtp/239.49.8.75:8000?$江苏电信
CCTV5-体育plus,http://180.107.15.88:2020/rtp/239.49.8.18:9610?$江苏电信
CCTV5+[5.1环绕声],http://221.198.182.240:8888/rtp/225.1.1.121:5002?$天津联通
CCTV5[5.1环绕声],http://221.198.182.240:8888/rtp/225.1.1.160:5002?$天津联通
CCTV6-电影,http://222.129.32.236:9001/rtp/239.3.1.174:8001?$北京联通
CCTV6-电影,http://221.221.92.194:8888/rtp/239.3.1.174:8001?$北京联通
CCTV6[5.1环绕声],http://221.198.182.240:8888/rtp/225.1.1.195:5002?$天津联通
CCTV7-军事,http://222.129.32.236:9001/rtp/239.3.1.61:8104?$北京联通
CCTV7-军事,http://221.221.92.194:8888/rtp/239.3.1.61:8104?$北京联通
CCTV7-军事,http://222.188.160.183:4022/rtp/239.49.1.254:6000?$江苏电信
CCTV7-军事,http://180.103.165.86:8888/rtp/239.49.1.254:6000?$江苏电信
CCTV7-军事,http://49.83.246.235:7000/rtp/239.49.1.254:6000?$江苏电信
CCTV7-军事,http://49.77.40.88:8000/rtp/239.49.1.254:6000?$江苏电信
CCTV7-军事,http://180.107.15.88:2020/rtp/239.49.1.254:6000?$江苏电信
CCTV7[5.1环绕声],http://221.198.182.240:8888/rtp/225.1.1.138:5002?$天津联通
CCTV8-电视剧,http://222.129.32.236:9001/rtp/239.3.1.175:8001?$北京联通
CCTV8-电视剧,http://221.221.92.194:8888/rtp/239.3.1.175:8001?$北京联通
CCTV8[5.1环绕声],http://221.198.182.240:8888/rtp/225.1.1.196:5002?$天津联通
CCTV9-纪录,http://222.129.32.236:9001/rtp/239.3.1.62:8112?$北京联通
CCTV9-纪录,http://221.221.92.194:8888/rtp/239.3.1.62:8112?$北京联通
CCTV9-纪录,http://222.188.160.183:4022/rtp/239.49.8.53:9814?$江苏电信
CCTV9-纪录,http://180.103.165.86:8888/rtp/239.49.8.53:9814?$江苏电信
CCTV9-纪录,http://49.83.246.235:7000/rtp/239.49.8.53:9814?$江苏电信
CCTV9-纪录,http://49.77.40.88:8000/rtp/239.49.8.53:9814?$江苏电信
CCTV9-纪录,http://180.107.15.88:2020/rtp/239.49.8.53:9814?$江苏电信
CCTV9[5.1环绕声],http://221.198.182.240:8888/rtp/225.1.1.119:5002?$天津联通
CCTV10-科教,http://222.129.32.236:9001/rtp/239.3.1.63:8116?$北京联通
CCTV10-科教,http://221.221.92.194:8888/rtp/239.3.1.63:8116?$北京联通
CCTV10-科教,http://222.188.160.183:4022/rtp/239.49.8.54:9818?$江苏电信
CCTV10-科教,http://180.103.165.86:8888/rtp/239.49.8.54:9818?$江苏电信
CCTV10-科教,http://49.83.246.235:7000/rtp/239.49.8.54:9818?$江苏电信
CCTV10-科教,http://49.77.40.88:8000/rtp/239.49.8.54:9818?$江苏电信
CCTV10-科教,http://180.107.15.88:2020/rtp/239.49.8.54:9818?$江苏电信
CCTV10[5.1环绕声],http://221.198.182.240:8888/rtp/225.1.1.140:5002?$天津联通
CCTV11-戏曲,http://222.129.32.236:9001/rtp/239.3.1.152:8120?$北京联通
CCTV11-戏曲,http://221.221.92.194:8888/rtp/239.3.1.152:8120?$北京联通
