09/19 18:30更新,#genre#
虚情的爱,https://vd2.bdstatic.com/mda-mi1dd05gmhwejdwn/sc/cae_h264/1630576203346678103/mda-mi1dd05gmhwejdwn.mp4
A1,#genre#
AMC电影台,http://95.179.139.113:5566/4gtv/39
ELTV生活英语台,http://95.179.139.113:5566/4gtv/106
HITS,http://95.179.139.113:5566/4gtv/186
LUXETVChannel,http://95.179.139.113:5566/4gtv/175
MTVLive音乐,http://95.179.139.113:5566/4gtv/213
ROCKEntertainment,http://95.179.139.113:5566/4gtv/275
TVBS欢乐台,http://95.179.139.113:5566/4gtv/184
TVBS精采台,http://95.179.139.113:5566/4gtv/227
TVBS新闻台,http://95.179.139.113:5566/4gtv/291
TVBS,http://95.179.139.113:5566/4gtv/183
博斯高球台,http://95.179.139.113:5566/4gtv/48
博斯网球台,http://95.179.139.113:5566/4gtv/52
大爱电视,http://95.179.139.113:5566/4gtv/209
东森新闻台,http://95.179.139.113:5566/4gtv/292
fun探索娱乐台,http://95.179.139.113:5566/4gtv/274
华视,http://95.179.139.113:5566/4gtv/6
华视新闻,http://95.179.139.113:5566/4gtv/34
寰宇财经台,http://95.179.139.113:5566/4gtv/281
寰宇新闻台,http://95.179.139.113:5566/4gtv/36
寰宇新闻台湾台,http://95.179.139.113:5566/4gtv/280
i-Fun动漫台,http://95.179.139.113:5566/4gtv/60
经典电影台,http://95.179.139.113:5566/4gtv/201
镜电视新闻台,http://95.179.139.113:5566/4gtv/268
靖天卡通台,http://95.179.139.113:5566/4gtv/15
靖天戏剧台,http://95.179.139.113:5566/4gtv/116
靖天映画,http://95.179.139.113:5566/4gtv/42
精选动漫台,http://95.179.139.113:5566/4gtv/204
靖洋戏剧台,http://95.179.139.113:5566/4gtv/118
龙华电影台,http://95.179.139.113:5566/4gtv/121
龙华日韩台,http://95.179.139.113:5566/4gtv/28
龙华戏剧台,http://95.179.139.113:5566/4gtv/23
民视第一台,http://95.179.139.113:5566/4gtv/254
民视台湾台,http://95.179.139.113:5566/4gtv/2
民视新闻台,http://95.179.139.113:5566/4gtv/257
民视影剧台,http://95.179.139.113:5566/4gtv/24
民视综艺台,http://95.179.139.113:5566/4gtv/16
人间卫视,http://95.179.139.113:5566/4gtv/210
戏剧免费看1台,http://95.179.139.113:5566/4gtv/270
香蕉直击台,http://95.179.139.113:5566/4gtv/94
幸福空间居家台,http://95.179.139.113:5566/4gtv/168
亚洲旅游台,http://95.179.139.113:5566/4gtv/250
亚洲旅游台,http://95.179.139.113:5566/4gtv/261
影迷数位电影台,http://95.179.139.113:5566/4gtv/40
中视,http://95.179.139.113:5566/4gtv/4
中视新闻,http://95.179.139.113:5566/4gtv/258
中视新闻,http://95.179.139.113:5566/4gtv/33
中天新闻台,http://95.179.139.113:5566/4gtv/30
猪哥亮歌厅秀,http://95.179.139.113:5566/4gtv/113

B1,#genre#
AMC电影台,https://litv.zapi.us.kg/?id=4gtv-4gtv017
TVBS欢乐台,https://litv.zapi.us.kg/?id=4gtv-4gtv068
TVBS精彩台,https://litv.zapi.us.kg/?id=4gtv-4gtv067
TVBS新闻台,https://litv.zapi.us.kg/?id=4gtv-4gtv072
TVBS,https://litv.zapi.us.kg/?id=4gtv-4gtv073
八大精彩台,https://litv.zapi.us.kg/?id=4gtv-4gtv034
八大综艺台,https://litv.zapi.us.kg/?id=4gtv-4gtv039
采昌,https://litv.zapi.us.kg/?id=4gtv-4gtv049
非凡新闻,https://litv.zapi.us.kg/?id=4gtv-4gtv010
公视,https://litv.zapi.us.kg/?id=4gtv-4gtv042
华视,https://litv.zapi.us.kg/?id=4gtv-4gtv041
华视新闻,https://litv.zapi.us.kg/?id=4gtv-4gtv052
靖天电影台,https://litv.zapi.us.kg/?id=4gtv-4gtv061
靖天欢乐台,https://litv.zapi.us.kg/?id=4gtv-4gtv054
靖天卡通台,https://litv.zapi.us.kg/?id=4gtv-4gtv044
靖天日本台,https://litv.zapi.us.kg/?id=4gtv-4gtv047
靖天台,https://litv.zapi.us.kg/?id=4gtv-4gtv063
靖天戏剧台,https://litv.zapi.us.kg/?id=4gtv-4gtv058
靖天映画,https://litv.zapi.us.kg/?id=4gtv-4gtv055
靖天育乐台,https://litv.zapi.us.kg/?id=4gtv-4gtv062
靖天资讯台,https://litv.zapi.us.kg/?id=4gtv-4gtv065
靖天综合台,https://litv.zapi.us.kg/?id=4gtv-4gtv046
靖洋卡通台,https://litv.zapi.us.kg/?id=4gtv-4gtv057
靖洋戏剧台,https://litv.zapi.us.kg/?id=4gtv-4gtv045
民视,https://litv.zapi.us.kg/?id=4gtv-4gtv002
民视第一台,https://litv.zapi.us.kg/?id=4gtv-4gtv003
民视台湾台,https://litv.zapi.us.kg/?id=4gtv-4gtv001
mnews镜新闻,https://litv.zapi.us.kg/?id=4gtv-4gtv075
台视新闻,https://litv.zapi.us.kg/?id=4gtv-4gtv051
中视,https://litv.zapi.us.kg/?id=4gtv-4gtv040
中视菁采台,https://litv.zapi.us.kg/?id=4gtv-4gtv064
中视新闻,https://litv.zapi.us.kg/?id=4gtv-4gtv074
中天新闻,https://litv.zapi.us.kg/?id=4gtv-4gtv009
猪哥亮歌厅秀,https://litv.zapi.us.kg/?id=4gtv-4gtv006
综艺,https://litv.zapi.us.kg/?id=4gtv-4gtv004

C1,#genre#
AMC,https://hlspull.iptv8k.top/iptv/ubtv.php?id=84
AXN亚洲,https://hlspull.iptv8k.top/iptv/ubtv.php?id=1066
AXN,https://hlspull.iptv8k.top/iptv/ubtv.php?id=1044
AXN,https://hlspull.iptv8k.top/iptv/ubtv.php?id=2816
CNBC,https://hlspull.iptv8k.top/iptv/ubtv.php?id=1106
CNBC,https://hlspull.iptv8k.top/iptv/ubtv.php?id=1414
CNBC,https://hlspull.iptv8k.top/iptv/ubtv.php?id=1555
CelestialClassicMoviesCCM,https://hlspull.iptv8k.top/iptv/ubtv.php?id=3004
ELTA影剧,https://hlspull.iptv8k.top/iptv/ubtv.php?id=500
EYE旅游,https://hlspull.iptv8k.top/iptv/ubtv.php?id=1494
EYE戏剧,https://hlspull.iptv8k.top/iptv/ubtv.php?id=191
FXMovie,https://hlspull.iptv8k.top/iptv/ubtv.php?id=1380
HITS,https://hlspull.iptv8k.top/iptv/ubtv.php?id=2984
