港澳频道,#genre#
1905国外电影,http://php.jdshipin.com:8880/1905.php?id=1905dy2
AMC电影,http://50.7.137.106:8080/AMC/index.m3u8?token=test
AMC电影台,http://61.221.215.25:8800/hls/43/index.m3u8
AMC电影台,https://litv.zapi.us.kg/?id=4gtv-4gtv017
CAT电影台,https://litv.zapi.us.kg/?id=4gtv-4gtv076
SiTV七彩戏剧,http://gslbservzqhsw.itv.cmvideo.cn/5000000011000031116/1.m3u8?channel-id=bestzb&Contentid=5000000011000031116&livemode=1&stbId=3
八大戏剧,http://61.221.215.25:8800/hls/39/index.m3u8
八大戏剧,http://tianhewan.top/ZIPP.php?url=http://211.72.65.236:8531/.m3u8
榜单电影,http://allinone.netsite.cc/douyu/8770422
采昌影剧,http://litv.zapi.us.kg/?id=4gtv-4gtv049
采昌影剧台,https://litv.zapi.us.kg/?id=4gtv-4gtv049
电影,http://37.27.111.214:8080/live/11/hls.m3u8
电影,http://pull.kktv8.com/livekktv/99350550.flv
东森各地影像,https://www.youtube.com/watch?v=yR7h7xmFVLQ
东森戏剧,http://tianhewan.top/ZIPP.php?url=http://211.72.65.236:8530/.m3u8
公视戏剧,http://litv.zapi.us.kg/?id=4gtv-4gtv042
好莱坞电影,http://tianhewan.top/ZIPP.php?url=http://211.72.65.236:8554/.m3u8
靖天电影,http://litv.zapi.us.kg/?id=4gtv-4gtv061
靖天电影台,https://litv.zapi.us.kg/?id=4gtv-4gtv061
靖天戏剧,http://litv.zapi.us.kg/?id=4gtv-4gtv058
靖天戏剧台,https://litv.zapi.us.kg/?id=4gtv-4gtv058
靖洋戏剧,http://litv.zapi.us.kg/?id=4gtv-4gtv045
靖洋戏剧台,https://litv.zapi.us.kg/?id=4gtv-4gtv045
句容影院,http://jrlive.jrntv.com/live/_definst_/yingshis/playlist.m3u8?zjiangsd
龙华电影,http://37.27.111.214:8080/live/19/hls.m3u8
龙华电影,http://litv.zapi.us.kg/?id=litv-longturn03
龙华电影台,https://litv.zapi.us.kg/?id=litv-longturn03
龙华戏剧,http://litv.zapi.us.kg/?id=litv-longturn18
龙华戏剧,https://litv.zapi.us.kg/?id=litv-longturn18
美亚电影台,http://php.jdshipin.com:8880/smt.php?id=meiyamovie_twn
闽南戏剧,http://litv.zapi.us.kg/?id=litv-longturn22
民视影剧,http://litv.zapi.us.kg/?id=litv-ftv09
三立戏剧,http://61.221.215.25:8800/hls/41/index.m3u8
数位电影,http://litv.zapi.us.kg/?id=4gtv-4gtv011
台湾戏剧台,https://litv.zapi.us.kg/?id=litv-longturn22
纬来电影,http://tianhewan.top/ZIPP.php?url=http://211.72.65.236:8579/.m3u8
纬来戏剧,http://tianhewan.top/ZIPP.php?url=http://211.72.65.236:8533/.m3u8
BLOOMBERG,http://37.27.111.214:8080/live/34/hls.m3u8
CinemaWorld,http://37.27.111.214:8080/live/30/hls.m3u8
TVB翡翠台,http://php.jdshipin.com:8880/smt.php?id=jade_twn
TVB华丽台,http://php.jdshipin.com:8880/smt.php?id=Tvbjade
TVB星河,http://php.jdshipin.com:8880/smt.php?id=Xinhe
TVB星河,http://php.jdshipin.com:8880/smt.php?id=tvbxinhe_twn
TVB星河国语,http://php.jdshipin.com:8880/TVOD/iptv.php?id=xinghe
TVBJade翡翠台,https://cloudfront41.lexanetwork.com:1344/relay01/livestream002.sdp/playlist.m3u8
TVBJade翡翠台CantoneseSubtitles,http://162.244.81.145:3333/live/telebostonrtb/playlist.m3u8
TVBRICS,http://brics.bonus-tv.ru/cdn/brics/chinese/tracks-v1a1/index.m3u8
TVBS欢乐台,http://37.27.111.214:8080/live/24/hls.m3u8
TVBS欢乐台,https://litv.zapi.us.kg/?id=4gtv-4gtv068
TVBS精彩台,https://litv.zapi.us.kg/?id=4gtv-4gtv067
TVBS新闻台,https://www.youtube.com/watch?v=m_dhMSvUCIc
TVBS,http://37.27.111.214:8080/live/23/hls.m3u8
TVBS,https://litv.zapi.us.kg/?id=4gtv-4gtv073
TVBSNEWS,http://61.221.215.25:8800/hls/9/index.m3u8
八大第一,http://61.221.215.25:8800/hls/55/index.m3u8
八大精彩,http://litv.zapi.us.kg/?id=4gtv-4gtv034
八大精彩台,https://litv.zapi.us.kg/?id=4gtv-4gtv034
八大综合,http://61.221.215.25:8800/hls/56/index.m3u8
八大综艺,http://litv.zapi.us.kg/?id=4gtv-4gtv039
八大综艺台,https://litv.zapi.us.kg/?id=4gtv-4gtv039
博斯高球1,http://37.27.111.214:8080/live/13/hls.m3u8
博斯运动1,http://37.27.111.214:8080/live/14/hls.m3u8
大爱,http://pulltv1.wanfudaluye.com/live/tv1.m3u8
大爱,https://pulltv1.wanfudaluye.com/live/tv1.m3u8
大爱,https://pulltv2.wanfudaluye.com/live/tv2.m3u8
大爱,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV30.m3u8
大爱1,https://pulltv2.wanfudaluye.com/live/tv1.m3u8
大爱2,https://pulltv1.wanfudaluye.com/live/tv2.m3u8
大爱2,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV47.m3u8
大立电视,http://www.dalitv.com.tw:4568/live/dali/index.m3u8
东森财经,http://103.193.151.158:8500/live.m3u8?c=6
东森财经,http://litv.zapi.us.kg/?id=4gtv-4gtv153
东森财经新闻台,https://www.youtube.com/watch?v=LbS-xQ67fos
东森新闻,http://37.27.111.214:8080/live/20/hls.m3u8
东森新闻,http://litv.zapi.us.kg/?id=4gtv-4gtv152
东森新闻,http://tianhewan.top/ZIPP.php?url=http://211.72.65.236:8540/.m3u8
东森新闻,https://litv.zapi.us.kg/?id=4gtv-4gtv152
东森新闻台,https://www.youtube.com/live/V1p33hqPrUk?si=IyGTwsTSIL7hXDKN
动物星球,http://61.221.215.25:8800/hls/57/index.m3u8
番薯,http://61.216.67.119:1935/TWHG/E1/chunklist_w7058102.m3u8
番薯,http://61.216.67.119:1935/TWHG/E1/chunklist_w70581102.m3u8
番薯,http://61.216.67.119:1935/TWHG/E1/chunklist_w705811302.m3u8
番薯111,http://61.216.67.119:1935/TWHG/E1/chunklist_w7058102.m3u8?blog.ntnas.top
番薯台,http://61.216.67.119:1935/TWHG/E1/chunklist_w7058102.m3u8?$2M1920x1080
番薯台,http://61.216.67.119:1935/TWHG/E1/chunklist_w70581102.m3u8?$2M1920x1080
番薯台,http://61.216.67.119:1935/TWHG/E1/chunklist_w705811302.m3u8?$2M1920x1080
番薯音乐,http://61.216.67.119:1935/TWHG/E1/chunklist_w7058102.m3u8?
番薯音乐,http://61.216.67.119:1935/TWHG/E1/chunklist_w70581102.m3u8?
番薯音乐,http://61.216.67.119:1935/TWHG/E1/chunklist_w705811302.m3u8?
翡翠台,http://grandprix2023.asuscomm.com:8889/bysid/1.m3u8
翡翠台,http://nz171l122.bb60246.ctm.net:8889/bysid/1.m3u8
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct
翡翠台,https://pi.0472.org/tv/fct.php?auth=230918
凤凰卫视,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzw
凤凰卫视,http://php.jdshipin.com:8880/smt.php?id=phoenixtv_hd
凤凰香港,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhhk
凤凰香港,http://php.jdshipin.com:8880/jydx.php?id=38
凤凰香港,http://php.jdshipin.com:8880/smt.php?id=hkphoenix_twn
凤凰香港,http://php.jdshipin.com:8880/smt.php?id=tvbcaijing_twn
凤凰中文,http://php.jdshipin.com:8880/jydx.php?id=37
