央视频道,#genre#
4K,http://114.243.156.93:8888/rtp/239.3.1.249:8001?$北京联通
4K,http://114.252.231.80:8000/rtp/239.3.1.249:8001?$北京联通
4K,http://222.130.83.82:4022/rtp/239.3.1.249:8001?$北京联通
华数4K,http://114.243.156.93:8888/rtp/239.3.1.236:2000?$北京联通
华数4K,http://114.252.231.80:8000/rtp/239.3.1.236:2000?$北京联通
华数4K,http://222.130.83.82:4022/rtp/239.3.1.236:2000?$北京联通
组播剧场,#genre#
第一剧场,http://114.238.59.174:4000/rtp/239.49.8.94:8000?$江苏电信
第一剧场,http://222.185.106.8:8888/rtp/239.49.8.94:8000?$江苏电信
第一剧场,http://222.185.115.100:9004/rtp/239.49.8.94:8000?$江苏电信
第一剧场,http://222.94.215.155:4022/rtp/239.49.8.94:8000?$江苏电信
第一剧场,http://222.95.92.12:4000/rtp/239.49.8.94:8000?$江苏电信
第一剧场,http://222.95.99.179:8888/rtp/239.49.8.94:8000?$江苏电信
风云剧场,http://114.238.59.174:4000/rtp/239.49.8.89:8000?$江苏电信
风云剧场,http://222.185.106.8:8888/rtp/239.49.8.89:8000?$江苏电信
风云剧场,http://222.185.115.100:9004/rtp/239.49.8.89:8000?$江苏电信
风云剧场,http://222.94.215.155:4022/rtp/239.49.8.89:8000?$江苏电信
风云剧场,http://222.95.92.12:4000/rtp/239.49.8.89:8000?$江苏电信
风云剧场,http://222.95.99.179:8888/rtp/239.49.8.89:8000?$江苏电信
风云音乐,http://114.238.59.174:4000/rtp/239.49.8.92:8000?$江苏电信
风云音乐,http://222.185.106.8:8888/rtp/239.49.8.92:8000?$江苏电信
风云音乐,http://222.185.115.100:9004/rtp/239.49.8.92:8000?$江苏电信
风云音乐,http://222.94.215.155:4022/rtp/239.49.8.92:8000?$江苏电信
风云音乐,http://222.95.92.12:4000/rtp/239.49.8.92:8000?$江苏电信
风云音乐,http://222.95.99.179:8888/rtp/239.49.8.92:8000?$江苏电信
怀旧剧场,http://114.238.59.174:4000/rtp/239.49.8.91:8000?$江苏电信
