<html>
<head><title>403 Forbidden</title></head>
<body>
<center><h1>403 Forbidden</h1></center>
<hr><center>nginx/1.20.1</center>
</body>
</html>
卫视频道&爬虫,#genre#
凤凰中文,http://118.112.148.14:58888/rtp/239.93.0.162:2192
凤凰中文,http://171.213.202.123:4022/rtp/239.93.0.162:2192
凤凰中文,http://171.213.206.62:4022/rtp/239.93.0.162:2192
凤凰资讯,http://118.112.148.14:58888/rtp/239.93.0.118:2191
凤凰资讯,http://171.213.202.123:4022/rtp/239.93.0.118:2191
凤凰资讯,http://171.213.206.62:4022/rtp/239.93.0.118:2191
河南卫视4K,http://106.42.109.224:2000/rtp/239.16.20.199:11990?$河南电信
央视数字&爬虫,#genre#
CHC动作电影,http://118.112.148.14:58888/rtp/239.93.42.7:5140
CHC动作电影,http://171.213.202.123:4022/rtp/239.93.42.7:5140
CHC动作电影,http://171.213.206.62:4022/rtp/239.93.42.7:5140
CHC家庭影院,http://118.112.148.14:58888/rtp/239.93.42.6:5140
CHC家庭影院,http://171.213.202.123:4022/rtp/239.93.42.6:5140
CHC家庭影院,http://171.213.206.62:4022/rtp/239.93.42.6:5140
CHC影迷电影,http://118.112.148.14:58888/rtp/239.93.42.5:5140
CHC影迷电影,http://171.213.202.123:4022/rtp/239.93.42.5:5140
CHC影迷电影,http://171.213.206.62:4022/rtp/239.93.42.5:5140
数字频道&爬虫,#genre#
IHOT爱动漫,http://118.112.148.14:58888/rtp/239.93.42.23:5140
IHOT爱动漫,http://171.213.202.123:4022/rtp/239.93.42.23:5140
IHOT爱动漫,http://171.213.206.62:4022/rtp/239.93.42.23:5140
IHOT爱怀旧,http://118.112.148.14:58888/rtp/239.93.42.21:5140
IHOT爱怀旧,http://171.213.202.123:4022/rtp/239.93.42.21:5140
IHOT爱怀旧,http://171.213.206.62:4022/rtp/239.93.42.21:5140
IHOT爱经典,http://118.112.148.14:58888/rtp/239.93.42.13:5140
IHOT爱经典,http://171.213.202.123:4022/rtp/239.93.42.13:5140
IHOT爱经典,http://171.213.206.62:4022/rtp/239.93.42.13:5140
IHOT爱科幻,http://118.112.148.14:58888/rtp/239.93.42.10:5140
IHOT爱科幻,http://171.213.202.123:4022/rtp/239.93.42.10:5140
IHOT爱科幻,http://171.213.206.62:4022/rtp/239.93.42.10:5140
IHOT爱青春,http://118.112.148.14:58888/rtp/239.93.42.16:5140
IHOT爱青春,http://171.213.202.123:4022/rtp/239.93.42.16:5140
IHOT爱青春,http://171.213.206.62:4022/rtp/239.93.42.16:5140
IHOT爱悬疑,http://118.112.148.14:58888/rtp/239.93.42.12:5140
IHOT爱悬疑,http://171.213.202.123:4022/rtp/239.93.42.12:5140
IHOT爱悬疑,http://171.213.206.62:4022/rtp/239.93.42.12:5140
IHOT爱幼教,http://118.112.148.14:58888/rtp/239.93.42.17:5140
IHOT爱幼教,http://171.213.202.123:4022/rtp/239.93.42.17:5140
IHOT爱幼教,http://171.213.206.62:4022/rtp/239.93.42.17:5140
IHOT爱院线,http://118.112.148.14:58888/rtp/239.93.42.11:5140
IHOT爱院线,http://171.213.202.123:4022/rtp/239.93.42.11:5140
IHOT爱院线,http://171.213.206.62:4022/rtp/239.93.42.11:5140
