四川电信,#genre#
星光院线,http://182.150.187.150:9999/rtp/239.93.42.87:5140?
峨眉电影,http://182.150.187.150:9999/rtp/239.93.0.252:5140?
CCTV 4K,http://182.150.187.150:9999/rtp/239.93.42.42:5140?
爱上4K,http://182.150.187.150:9999/rtp/239.93.0.97:5140?
凤凰卫视,http://182.150.187.150:9999/rtp/239.93.0.162:2192?
凤凰卫视,http://182.150.187.150:9999/rtp/239.93.1.9:2192?
凤凰卫视资讯,http://182.150.187.150:9999/rtp/239.93.0.118:2191?
凤凰卫视资讯,http://182.150.187.150:9999/rtp/239.93.1.4:2191?
星空卫视,http://182.150.187.150:9999/rtp/239.93.0.156:2193?
星空卫视,http://182.150.187.150:9999/rtp/239.93.1.10:2193?
华语影院,http://182.150.187.150:9999/rtp/239.93.42.86:5140?
星光院线,http://182.150.187.150:9999/rtp/239.93.42.87:5140?
全球大片,http://182.150.187.150:9999/rtp/239.93.42.90:5140?
热门剧场,http://182.150.187.150:9999/rtp/239.93.42.88:5140?
谍战剧场,http://182.150.187.150:9999/rtp/239.93.42.91:5140?
爱怀旧,http://182.150.187.150:9999/rtp/239.93.42.21:5140?
爱科幻,http://182.150.187.150:9999/rtp/239.93.42.10:5140?
爱院线,http://182.150.187.150:9999/rtp/239.93.42.11:5140?
爱经典,http://182.150.187.150:9999/rtp/239.93.42.13:5140?
爱悬疑,http://182.150.187.150:9999/rtp/239.93.42.12:5140?
爱青春,http://182.150.187.150:9999/rtp/239.93.42.16:5140?
少儿天地,http://182.150.187.150:9999/rtp/239.93.42.34:5140?
爱幼教,http://182.150.187.150:9999/rtp/239.93.42.17:5140?
爱动漫,http://182.150.187.150:9999/rtp/239.93.42.23:5140?
绚影4K,http://182.150.187.150:9999/rtp/239.93.42.33:5140?
中录动漫4K,http://182.150.187.150:9999/rtp/239.93.1.188:5140?
4K乐享超清,http://182.150.187.150:9999/rtp/239.93.0.43:5140?
怀旧剧场,http://182.150.187.150:9999/rtp/239.93.1.198:5140?
风云剧场,http://182.150.187.150:9999/rtp/239.93.1.156:5140?
CHC家庭影院,http://182.150.187.150:9999/rtp/239.93.42.6:5140?
CHC电影,http://182.150.187.150:9999/rtp/239.93.42.5:5140?
CHC动作电影,http://182.150.187.150:9999/rtp/239.93.42.7:5140?
欢笑剧场4K,http://182.150.187.150:9999/rtp/239.93.0.145:5140?
百事通4K测试[5.1环绕声],http://182.150.187.150:9999/rtp/239.93.42.75:5140?

星光院线,http://125.71.168.144:4022/rtp/239.93.42.87:5140?
峨眉电影,http://125.71.168.144:4022/rtp/239.93.0.252:5140?
CCTV 4K,http://125.71.168.144:4022/rtp/239.93.42.42:5140?
爱上4K,http://125.71.168.144:4022/rtp/239.93.0.97:5140?
凤凰卫视,http://125.71.168.144:4022/rtp/239.93.0.162:2192?
凤凰卫视,http://125.71.168.144:4022/rtp/239.93.1.9:2192?
凤凰卫视资讯,http://125.71.168.144:4022/rtp/239.93.0.118:2191?
凤凰卫视资讯,http://125.71.168.144:4022/rtp/239.93.1.4:2191?
星空卫视,http://125.71.168.144:4022/rtp/239.93.0.156:2193?
星空卫视,http://125.71.168.144:4022/rtp/239.93.1.10:2193?
华语影院,http://125.71.168.144:4022/rtp/239.93.42.86:5140?
星光院线,http://125.71.168.144:4022/rtp/239.93.42.87:5140?
全球大片,http://125.71.168.144:4022/rtp/239.93.42.90:5140?
热门剧场,http://125.71.168.144:4022/rtp/239.93.42.88:5140?
谍战剧场,http://125.71.168.144:4022/rtp/239.93.42.91:5140?
爱怀旧,http://125.71.168.144:4022/rtp/239.93.42.21:5140?
爱科幻,http://125.71.168.144:4022/rtp/239.93.42.10:5140?
爱院线,http://125.71.168.144:4022/rtp/239.93.42.11:5140?
爱经典,http://125.71.168.144:4022/rtp/239.93.42.13:5140?
爱悬疑,http://125.71.168.144:4022/rtp/239.93.42.12:5140?
爱青春,http://125.71.168.144:4022/rtp/239.93.42.16:5140?
少儿天地,http://125.71.168.144:4022/rtp/239.93.42.34:5140?
爱幼教,http://125.71.168.144:4022/rtp/239.93.42.17:5140?
爱动漫,http://125.71.168.144:4022/rtp/239.93.42.23:5140?
绚影4K,http://125.71.168.144:4022/rtp/239.93.42.33:5140?
中录动漫4K,http://125.71.168.144:4022/rtp/239.93.1.188:5140?
4K乐享超清,http://125.71.168.144:4022/rtp/239.93.0.43:5140?
怀旧剧场,http://125.71.168.144:4022/rtp/239.93.1.198:5140?
风云剧场,http://125.71.168.144:4022/rtp/239.93.1.156:5140?
CHC家庭影院,http://125.71.168.144:4022/rtp/239.93.42.6:5140?
CHC电影,http://125.71.168.144:4022/rtp/239.93.42.5:5140?
CHC动作电影,http://125.71.168.144:4022/rtp/239.93.42.7:5140?
欢笑剧场4K,http://125.71.168.144:4022/rtp/239.93.0.145:5140?
百事通4K测试[5.1环绕声],http://125.71.168.144:4022/rtp/239.93.42.75:5140?

