央视频道,#genre#
CCTV1,http://1.196.152.115:2000/rtp/239.16.10.1:2000?$河南电信
CCTV1,http://1.196.152.115:2000/rtp/239.16.20.1:10010?$河南电信
CCTV2,http://1.196.152.115:2000/rtp/239.16.10.127:2000?$河南电信
CCTV2,http://1.196.152.115:2000/rtp/239.16.20.2:10020?$河南电信
CCTV3,http://1.196.152.115:2000/rtp/239.16.10.2:2000?$河南电信
CCTV3,http://1.196.152.115:2000/rtp/239.16.20.3:10030?$河南电信
CCTV4,http://1.196.152.115:2000/rtp/239.16.10.128:2000?$河南电信
CCTV4,http://1.196.152.115:2000/rtp/239.16.20.4:10040?$河南电信
CCTV5+,http://1.196.152.115:2000/rtp/239.16.10.3:2000?$河南电信
CCTV5+,http://1.196.152.115:2000/rtp/239.16.20.5:10050?$河南电信
CCTV5,http://1.196.152.115:2000/rtp/239.16.10.132:2000?$河南电信
CCTV5,http://1.196.152.115:2000/rtp/239.16.20.53:10530?$河南电信
CCTV6,http://1.196.152.115:2000/rtp/239.16.10.101:2000?$河南电信
CCTV6,http://1.196.152.115:2000/rtp/239.16.20.6:10060?$河南电信
CCTV7,http://1.196.152.115:2000/rtp/239.16.10.130:2000?$河南电信
CCTV7,http://1.196.152.115:2000/rtp/239.16.20.51:10510?$河南电信
CCTV8,http://1.196.152.115:2000/rtp/239.16.10.102:2000?$河南电信
CCTV8,http://1.196.152.115:2000/rtp/239.16.20.8:10080?$河南电信
CCTV9,http://1.196.152.115:2000/rtp/239.16.10.103:2000?$河南电信
CCTV9,http://1.196.152.115:2000/rtp/239.16.20.9:10090?$河南电信
CCTV10,http://1.196.152.115:2000/rtp/239.16.10.108:2000?$河南电信
CCTV10,http://1.196.152.115:2000/rtp/239.16.20.10:10100?$河南电信
CCTV11,http://1.196.152.115:2000/rtp/239.16.10.109:2000?$河南电信
CCTV11,http://1.196.152.115:2000/rtp/239.16.20.11:10110?$河南电信
CCTV12,http://1.196.152.115:2000/rtp/239.16.10.110:2000?$河南电信
