CCTV-1,udp://239.3.1.129:8008
CCTV-2,udp://239.3.1.60:8084
CCTV-3,udp://239.3.1.172:8001
CCTV-4,udp://239.3.1.105:8092
CCTV-5,udp://239.3.1.173:8001
CCTV-5+,udp://239.3.1.130:8004
CCTV-6,udp://239.3.1.174:8001
CCTV-7,udp://239.3.1.61:8104
CCTV-8,udp://239.3.1.175:8001
CCTV-9,udp://239.3.1.62:8112
CCTV-10,udp://239.3.1.63:8116
CCTV-11,udp://239.3.1.152:8120
CCTV-12,udp://239.3.1.64:8124
CCTV-13,udp://239.3.1.124:8128
CCTV-14,udp://239.3.1.65:8132
CCTV-15,udp://239.3.1.153:8136
CCTV-16,udp://239.3.1.184:8001
CCTV-17,udp://239.3.1.151:8144
BRTV北京卫视HD,udp://239.3.1.241:8000
BRTV新闻HD,udp://239.3.1.159:8000
BRTV影视HD,udp://239.3.1.158:8000
BRTV文艺HD,udp://239.3.1.242:8000
BRTV财经HD,udp://239.3.1.116:8000
BRTV生活HD,udp://239.3.1.117:8000
BRTV纪实科教HD,udp://239.3.1.115:8000
BRTV卡酷少儿HD,udp://239.3.1.189:8000
BRTV冬奥纪实HD,udp://239.3.1.243:8000
BRTV体育休闲,udp://239.3.1.243:8000
BTV国际频道,udp://239.3.1.235:8000
爱上4K,udp://239.3.1.236:2000
4K超清,udp://239.3.1.249:8001
淘电影HD,udp://239.3.1.250:8001
纪实人文HD,udp://239.3.1.212:8060
金鹰纪实HD,udp://239.3.1.58:8156
淘剧场HD,udp://239.3.1.95:8001
淘娱乐HD,udp://239.3.1.100:8001
淘BabyHD,udp://239.3.1.238:8001
萌宠TVHD,udp://239.3.1.102:8001
湖南卫视HD,udp://239.3.1.132:8012
东方卫视HD,udp://239.3.1.136:8032
浙江卫视HD,udp://239.3.1.137:8036
江苏卫视HD,udp://239.3.1.135:8028
深圳卫视HD,udp://239.3.1.134:8020
广东卫视HD,udp://239.3.1.142:8048
安徽卫视HD,udp://239.3.1.211:8064
天津卫视HD,udp://239.3.1.141:1234
重庆卫视HD,udp://239.3.1.122:8160
山东卫视HD,udp://239.3.1.209:8052
黑龙江卫视HD,udp://239.3.1.133:8016
河北卫视HD,udp://239.3.1.148:8072
辽宁卫视HD,udp://239.3.1.210:8056
湖北卫视HD,udp://239.3.1.138:8044
吉林卫视HD,udp://239.3.1.240:8172
贵州卫视HD,udp://239.3.1.149:8076
东南卫视HD,udp://239.3.1.156:8148
江西卫视HD,udp://239.3.1.123:8164
中国交通HD,udp://239.3.1.188:8001
朝阳融媒HD,udp://239.3.1.163:8001
通州融媒HD,udp://239.3.1.221:8001
密云电视台HD,udp://239.3.1.154:8001
房山电视台,udp://239.3.1.96:8001
CCTV-4 欧洲,udp://239.3.1.213:4220
CCTV-4 美洲,udp://239.3.1.214:4220
CGTN 新闻HD,udp://239.3.1.215:4220
CGTN 记录HD,udp://239.3.1.216:4220
CGTN 西班牙语HD,udp://239.3.1.217:4220
CGTN 法语HD,udp://239.3.1.218:4220
CGTN 阿拉伯语HD,udp://239.3.1.219:4220
CGTN 俄语HD,udp://239.3.1.220:4220
睛彩竞技HD,udp://239.3.1.125:8001
睛彩篮球HD,udp://239.3.1.126:8001
睛彩羽毛球HD,udp://239.3.1.127:8001
睛彩广场舞HD,udp://239.3.1.128:8001
淘精彩HD,udp://239.3.1.178:8001
大健康HD,udp://239.3.1.251:8001
CETV-1,udp://239.3.1.57:8152
