CCTV第一剧场,rtp://239.93.1.197:5140$四川联通
CCTV怀旧剧场,rtp://239.93.1.198:5140$四川联通
凤凰卫视中文台,rtp://239.93.0.162:2192$四川联通
凤凰卫视资讯台,rtp://239.93.0.118:2191$四川联通
星光院线,rtp://239.93.0.139:5140$S川联通
全球大片,rtp://239.93.0.105:5140$S川联通
华语影院,rtp://239.93.0.138:5140$S川联通
谍战剧场,rtp://239.93.0.95:5140$S川联通
都市剧场,rtp://239.93.42.30:5140$S川联通
峨眉电影,rtp://239.93.0.252:5140$S川联通
爱电竞,rtp://239.93.42.19:5140$S川联通
爱谍战,rtp://239.93.42.14:5140$S川联通
爱动漫,rtp://239.93.42.23:5140$S川联通
爱怀旧,rtp://239.93.42.21:5140$S川联通
爱经典,rtp://239.93.42.13:5140$S川联通
爱科幻,rtp://239.93.42.10:5140$S川联通
爱奇谈,rtp://239.93.42.22:5140$S川联通
爱青春,rtp://239.93.42.16:5140$S川联通
爱赛车,rtp://239.93.42.20:5140$S川联通
爱玩具,rtp://239.93.42.18:5140$S川联通
爱喜剧,rtp://239.93.42.9:5140$S川联通
爱悬疑,rtp://239.93.42.12:5140$S川联通
爱幼教,rtp://239.93.42.17:5140$S川联通
爱院线,rtp://239.93.42.11:5140$S川联通
SCTV1,rtp://239.93.0.16:5140$四川联通
SCTV2,rtp://239.93.0.17:1239$四川联通
SCTV3,rtp://239.93.0.18:1238$四川联通
SCTV4,rtp://239.93.0.19:1250$四川联通
SCTV5,rtp://239.93.1.231:5140$四川联通
SCTV6,rtp://239.93.0.21:1251$四川联通
四川经济,rtp://239.93.1.101:5140$四川联通
四川文旅,rtp://239.93.1.102:5140$四川联通
四川新闻,rtp://239.93.0.47:5140$四川联通
四川影视,rtp://239.93.0.166:5140$四川联通
四川科教,rtp://239.93.42.44:5140$四川联通
四川TV7,rtp://239.93.0.219:5140$四川联通
四川TV7,rtp://239.93.0.219:5140$四川联通
四川乡村,rtp://239.93.0.52:5140$四川联通
四川文旅,rtp://239.93.1.102:5140$四川联通
四川经济,rtp://239.93.1.101:5140$四川联通
四川乡村,rtp://239.93.0.52:5140$四川联通
四川新闻,rtp://239.93.0.47:5140$四川联通
四川影视,rtp://239.93.0.166:5140$四川联通
经典电影,rtp://239.93.0.57:9024$四川联通
