CCTV1,rtp://225.1.1.212:5002?
CCTV1[5.1环绕声],rtp://225.1.1.120:5002?
CCTV2[5.1环绕声],rtp://225.1.1.133:5002?
CCTV3[5.1环绕声],rtp://225.1.1.158:5002?
CCTV4[5.1环绕声],rtp://225.1.1.150:5002?
CCTV5+[5.1环绕声],rtp://225.1.1.121:5002?
CCTV5[5.1环绕声],rtp://225.1.1.160:5002?
CCTV6[5.1环绕声],rtp://225.1.1.195:5002?
CCTV7[5.1环绕声],rtp://225.1.1.138:5002?
CCTV8[5.1环绕声],rtp://225.1.1.196:5002?
CCTV9[5.1环绕声],rtp://225.1.1.119:5002?
CCTV10[5.1环绕声],rtp://225.1.1.140:5002?
CCTV11,rtp://225.1.2.192:5002?
CCTV12[5.1环绕声],rtp://225.1.1.142:5002?
CCTV13[5.1环绕声],rtp://225.1.2.193:5002?
CCTV14[5.1环绕声],rtp://225.1.1.144:5002?
CCTV15,rtp://225.1.2.194:5002?
CCTV16[5.1环绕声],rtp://225.1.2.237:5002?
CCTV17[5.1环绕声],rtp://225.1.2.52:5002?
兵器科技,rtp://225.1.2.166:5002?
地理世界,rtp://225.1.2.171:5002?
女性时尚,rtp://225.1.2.172:5002?
文化精品,rtp://225.1.2.177:5002?
风云音乐,rtp://225.1.2.176:5002?
CHC动作电影,rtp://225.1.1.215:5002?
CHC家庭影院,rtp://225.1.1.213:5002?
CHC影迷电影,rtp://225.1.1.214:5002?
欢笑剧场,rtp://225.1.1.139:5002?
欢笑剧场4K,rtp://225.1.1.152:5002?
搜狐4K,rtp://225.1.2.190:5002?
第一剧场,rtp://225.1.2.175:5002?
风云剧场,rtp://225.1.2.174:5002?
都市剧场,rtp://225.1.1.146:5002?
怀旧剧场,rtp://225.1.2.173:5002?
