CCTV-1,rtp://239.21.1.120:5002?$山东电信
CCTV-2,rtp://239.21.1.151:5002?$山东电信
CCTV-3,rtp://239.21.2.45:5002?$山东电信
CCTV-4,rtp://239.21.1.154:5002?$山东电信
CCTV-5,rtp://239.21.2.46:5002?$山东电信
CCTV-5+,rtp://239.21.1.142:5002?$山东电信
CCTV-6,rtp://239.21.2.47:5002?$山东电信
CCTV-7,rtp://239.21.1.152:5002?$山东电信
CCTV-8,rtp://239.21.2.48:5002?$山东电信
CCTV-9,rtp://239.21.1.153:5002?$山东电信
CCTV-10,rtp://239.21.1.155:5002?$山东电信
CCTV-11,rtp://239.21.2.2:5002?$山东电信
CCTV-12,rtp://239.21.1.156:5002?$山东电信
CCTV-13,rtp://239.21.2.3:5002?$山东电信
CCTV-14,rtp://239.21.1.157:5002?$山东电信
CCTV-15,rtp://239.21.2.4:5002?$山东电信
CCTV-16,rtp://239.21.2.51:5002?$山东电信
CCTV-17,rtp://239.21.1.186:5002?$山东电信
CCTV-4 美洲,rtp://239.21.2.29:5002?$山东电信
CCTV-4 欧洲,rtp://239.21.2.28:5002?$山东电信
CETV-1,rtp://239.21.2.7:5002?$山东电信
CETV-2,rtp://239.21.2.8:5002?$山东电信
CETV-4,rtp://239.21.1.222:5002?$山东电信
CGTN,rtp://239.21.1.10:5002?$山东电信
CGTN,rtp://239.21.2.30:5002?$山东电信
CGTN阿拉伯语,rtp://239.21.2.34:5002?$山东电信
CGTN俄语,rtp://239.21.2.35:5002?$山东电信
CGTN法语,rtp://239.21.2.33:5002?$山东电信
CGTN纪录,rtp://239.21.2.31:5002?$山东电信
CGTN西班牙语,rtp://239.21.2.32:5002?$山东电信
BTV纪实 LD,rtp://239.21.1.194:5002?$山东电信
BTV卡酷少儿,rtp://239.21.1.49:5002?$山东电信
IPTV5+,rtp://239.21.1.161:5002?$山东电信
IPTV经典电影,rtp://239.21.1.124:5002?$山东电信
IPTV魅力时尚,rtp://239.21.1.129:5002?$山东电信
IPTV热播剧场,rtp://239.21.1.128:5002?$山东电信
IPTV少儿动画,rtp://239.21.1.125:5002?$山东电信
IPTV相声小品,rtp://239.21.1.126:5002?$山东电信
爱生活,rtp://239.21.1.212:5002?$山东电信
安徽卫视,rtp://239.21.1.21:5002?$山东电信
安徽卫视,rtp://239.21.1.159:5002?$山东电信
安丘新闻,rtp://239.21.2.13:5002?$山东电信
北京纪实,rtp://239.21.1.172:5002?$山东电信
北京卫视,rtp://239.21.1.20:5002?$山东电信
北京卫视,rtp://239.21.1.88:5002?$山东电信
滨州公共,rtp://239.21.1.119:5002?$山东电信
滨州好生新闻,rtp://239.21.1.238:5002?$山东电信
滨州新闻,rtp://239.21.1.118:5002?$山东电信
兵团卫视,rtp://239.21.1.234:5002?$山东电信
财富天下,rtp://239.21.1.127:5002?$山东电信
昌乐新闻,rtp://239.21.1.245:5002?$山东电信
昌邑新闻,rtp://239.21.2.27:5002?$山东电信
超清电影,rtp://239.21.1.179:5002?$山东电信
车迷,rtp://239.21.2.39:5002?$山东电信
茌平综合,rtp://239.21.1.219:5002?$山东电信
单县综合,rtp://239.21.2.21:5002?$山东电信
