CCTV-1,udp://226.0.2.153:9136
CCTV-2,udp://226.0.2.154:9144
CCTV-3,udp://226.0.2.208:9576
CCTV-4,udp://226.0.2.156:9160
CCTV-5,udp://226.0.2.209:9584
CCTV-6,udp://226.0.2.210:9592
CCTV-7,udp://226.0.2.159:9184
CCTV-8,udp://226.0.2.211:9600
CCTV-9,udp://226.0.2.161:9200
CCTV-10,udp://226.0.2.162:9208
CCTV-12,udp://226.0.2.164:9224
CCTV-13,udp://226.0.2.165:9232
CCTV-14,udp://226.0.2.166:9240
CCTV-5+,udp://226.0.2.168:9256
CCTV-16,udp://226.0.2.169:9264
CCTV-17,udp://226.0.2.170:9272
山西黄河HD,udp://226.0.2.235:9792
山西经济与科技HD,udp://226.0.2.236:9800
山西影视HD,udp://226.0.2.237:9808
山西社会与法治HD,udp://226.0.2.238:9816
山西文体生活HD,udp://226.0.2.16:8040
山西卫视,udp://226.0.2.11:8000
山西黄河,udp://226.0.2.12:8008
山西经济与科技,udp://226.0.2.13:8016
山西影视,udp://226.0.2.14:8024
山西社会与法治,udp://226.0.2.15:8032
湖南卫视HD,udp://226.0.2.143:9056
浙江卫视HD,udp://226.0.2.144:9064
安徽卫视HD,udp://226.0.2.145:9072
广东卫视HD,udp://226.0.2.146:9080
深圳卫视HD,udp://226.0.2.147:9088
天津卫视HD,udp://226.0.2.148:9096
山东卫视HD,udp://226.0.2.149:9104
湖北卫视HD,udp://226.0.2.150:9112
黑龙江卫视HD,udp://226.0.2.151:9120
山西卫视HD,udp://226.0.2.152:9128
金鹰卡通HD,udp://226.0.2.172:9288
辽宁卫视HD,udp://226.0.2.173:9296
重庆卫视HD,udp://226.0.2.174:9304
东方卫视HD,udp://226.0.2.175:9312
江苏卫视HD,udp://226.0.2.176:9320
北京卫视HD,udp://226.0.2.177:9328
河北卫视HD,udp://226.0.2.178:9336
四川卫视HD,udp://226.0.2.179:9344
贵州卫视HD,udp://226.0.2.180:9352
哈哈炫动,udp://226.0.2.44:8264
广东卫视,udp://226.0.2.45:8272
广西卫视,udp://226.0.2.46:8280
深圳卫视,udp://226.0.2.47:8288
黑龙江卫视,udp://226.0.2.48:8296
湖北卫视,udp://226.0.2.49:8304
重庆卫视,udp://226.0.2.50:8312
山东卫视,udp://226.0.2.51:8320
河南卫视HD,udp://226.0.2.52:8328
陕西卫视,udp://226.0.2.53:8336
江西卫视HD,udp://226.0.2.54:8344
甘肃卫视,udp://226.0.2.55:8352
天津卫视,udp://226.0.2.56:8360
卡酷卡通,udp://226.0.2.57:8368
吉林卫视HD,udp://226.0.2.58:8376
青海卫视,udp://226.0.2.59:8384
云南卫视,udp://226.0.2.60:8392
海南卫视,udp://226.0.2.61:8400
兵团卫视,udp://226.0.2.62:8408
内蒙古卫视,udp://226.0.2.63:8416
