CCTV4K[50p],rtp://239.77.0.174:5146?$广东电信
CCTV4K,rtp://239.77.0.194:5146?$广东电信
CCTV4K,rtp://239.77.1.180:5146?$广东电信
CCTV8K,rtp://239.253.43.106:5146?$广东电信
CCTV164K,rtp://239.77.1.98:5146?$广东电信
第一剧场,rtp://239.253.43.15:5146?$广东电信
第一剧场,rtp://239.253.43.28:5146?$广东电信
电影,rtp://239.77.0.27:5146?$广东电信
佛山影视,rtp://239.253.43.56:5146?$广东电信
广东影视,rtp://239.77.0.217:5146?$广东电信
广东珠江,rtp://239.77.0.114:5146?$广东电信
广东珠江,rtp://239.77.0.1:5146?$广东电信
广东综艺4K,rtp://239.77.1.237:5146?$广东电信
广东综艺4k,rtp://239.77.0.244:5146?$广东电信
广东综艺4k,rtp://239.77.0.245:5146?$广东电信
怀旧剧场,rtp://239.253.43.25:5146?$广东电信
怀旧剧场,rtp://239.253.43.5:5146?$广东电信
南国都市4K,rtp://239.253.43.99:5146?$广东电信
深圳影视,rtp://239.77.1.125:5146?$广东电信
深圳影视,rtp://239.77.1.177:5146?$广东电信
深圳影视,rtp://239.77.1.7:5146?$广东电信
深圳娱乐,rtp://239.77.1.243:5146?$广东电信
