电影1,rtp://239.81.0.194:4056?$广西电信
动作电影,rtp://239.81.0.239:4056?$广西电信
都市剧场,rtp://239.81.0.81:4056?$广西电信
广西影视,rtp://239.81.0.250:4056?$广西电信
广西影视,rtp://239.81.0.7:4056?$广西电信
家庭影院,rtp://239.81.0.238:4056?$广西电信
精彩影视,rtp://239.81.0.152:4056?$广西电信
南宁影视娱乐,rtp://239.81.0.128:4056?$广西电信
南宁影视娱乐,rtp://239.81.0.140:4056?$广西电信
影迷电影,rtp://239.81.0.240:4056?$广西电信
相声小品,rtp://239.81.0.17:4056?$广西电信
华数1,rtp://239.81.0.85:4056?$广西电信
华数2,rtp://239.81.0.83:4056?$广西电信
华数3,rtp://239.81.0.82:4056?$广西电信
华数4,rtp://239.81.0.67:4056?$广西电信
华数5,rtp://239.81.0.65:4056?$广西电信
华数6,rtp://239.81.0.15:4056?$广西电信
华数4K,rtp://239.81.0.123:4056?$广西电信
华数9,rtp://239.81.0.84:4056?$广西电信
百视TV,rtp://239.81.0.166:4056?$广西电信
