CCTV1综合,rtp://239.253.92.83:8012
CCTV2财经,rtp://239.253.92.190:6065
CCTV3综艺,rtp://239.253.92.191:6057
CCTV4亚洲,rtp://239.253.92.251:6141
CCTV5+体育赛事,rtp://239.253.92.82:8013
CCTV5体育,rtp://239.253.92.181:6046
CCTV6电影,rtp://239.253.92.193:6058
CCTV7国防军事,rtp://239.253.92.194:6059
CCTV8电视剧,rtp://239.253.92.195:6060
CCTV9纪录,rtp://239.253.92.107:6020
CCTV10科教,rtp://239.253.92.196:6061
CCTV11戏曲,rtp://239.253.93.153:6321
CCTV12社会与法,rtp://239.253.92.197:6062
CCTV14少儿,rtp://239.253.92.198:6063
CCTV15音乐,rtp://239.253.93.154:6322
CCTV17农业农村,rtp://239.253.93.150:6318
兵器科技,rtp://239.253.93.47:6435
兵器科技[576p],rtp://239.253.92.119:8065
第一剧场,rtp://239.253.93.138:6428
第一剧场[576p],rtp://239.253.92.18:6079
风云剧场,rtp://239.253.93.251:6429
风云剧场[576p],rtp://239.253.92.22:6073
风云音乐,rtp://239.253.93.253:6431
风云音乐[576p],rtp://239.253.92.111:8060
风云足球,rtp://239.253.93.254:6432
风云足球[576p],rtp://239.253.92.110:8061
高尔夫网球,rtp://239.253.93.122:6465
高尔夫网球[576p],rtp://239.253.92.117:8062
怀旧剧场,rtp://239.253.93.252:6430
怀旧剧场[576p],rtp://239.253.92.98:6120
家庭理财[576p],rtp://239.253.93.246:6424
女性时尚[576p],rtp://239.253.92.249:6103
世界地理[576p],rtp://239.253.92.113:8066
央视台球,rtp://239.253.93.231:6409
安徽卫视,rtp://239.253.92.209:6566
北京卫视,rtp://239.253.92.87:8014
兵团卫视[576p],rtp://239.253.93.176:6344
重庆卫视,rtp://239.253.92.10:6053
东方卫视,rtp://239.253.92.89:8019
东南卫视,rtp://239.253.92.201:6146
广东卫视,rtp://239.253.92.206:8108
广西卫视,rtp://239.253.92.76:8043
贵州卫视,rtp://239.253.92.105:6055
海南卫视,rtp://239.253.93.155:6323
黑龙江卫视,rtp://239.253.92.85:8016
湖北卫视,rtp://239.253.92.210:6567
湖南卫视,rtp://239.253.92.84:8015
吉林卫视,rtp://239.253.92.202:6147
江苏卫视,rtp://239.253.92.88:8018
江西卫视,rtp://239.253.92.19:6145
山东卫视,rtp://239.253.92.207:8109
深圳卫视,rtp://239.253.92.86:8017
四川卫视,rtp://239.253.92.16:6043
天津卫视,rtp://239.253.92.91:8021
浙江卫视,rtp://239.253.92.90:8020
﻿河北卫视aaa,rtp://239.253.92.154:6011
环球旅游[576p],rtp://239.253.93.220:6398
环球奇观[576p],rtp://239.253.92.130:8069
武术世界,rtp://239.253.93.46:6434
武术世界[576p],rtp://239.253.92.141:8064
承德公共,rtp://239.253.92.223:8113
承德新闻综合,rtp://239.253.92.222:8112
高邑电视,rtp://239.253.92.160:6041
邯郸新闻综合,rtp://239.253.93.11:6164
河北都市,rtp://239.253.92.172:6002
河北公共,rtp://239.253.92.175:6005
河北经济生活,rtp://239.253.92.171:6001
河北农民,rtp://239.253.92.176:6006
河北影视剧,rtp://239.253.92.173:6003
睛彩河北,rtp://239.253.92.104:6221
井陉电视,rtp://239.253.93.205:6383
隆化电视,rtp://239.253.93.174:6342
滦南电视,rtp://239.253.92.218:6100
秦皇岛公共,rtp://239.253.92.53:6022
秦皇岛新闻综合,rtp://239.253.92.52:6021
秦皇岛影视,rtp://239.253.92.54:6023
邱县电视,rtp://239.253.93.158:6326
容城电视,rtp://239.253.93.110:6277
深泽电视,rtp://239.253.94.31:6630
石家庄都市,rtp://239.253.92.95:8122
石家庄生活,rtp://239.253.92.94:8121
石家庄新闻综合,rtp://239.253.92.149:6035
石家庄娱乐,rtp://239.253.92.93:8120
唐山生活服务,rtp://239.253.92.126:6026
唐县电视,rtp://239.253.93.30:6183
魏县电视,rtp://239.253.93.185:6353
文安电视,rtp://239.253.93.111:6278
吴桥电视,rtp://239.253.93.169:6337
徐水电视,rtp://239.253.93.182:6350
张家口公共[576p],rtp://239.253.92.226:8116
张家口新闻综合,rtp://239.253.92.225:8115
遵化电视,rtp://239.253.93.177:6345
东方财经,rtp://239.253.93.239:6417
山东教育[576p],rtp://239.253.92.106:6135
安新电视[576p],rtp://239.253.93.107:6274
财富天下[576p],rtp://239.253.93.247:6425
茶频道,rtp://239.253.93.212:6390
赤城电视[576p],rtp://239.253.93.160:6328
电视指南,rtp://239.253.93.249:6427
电视指南[576p],rtp://239.253.92.17:6078
动漫秀场,rtp://239.253.93.225:6403
都市剧场,rtp://239.253.93.227:6405
发现之旅[576p],rtp://239.253.94.30:6629
法治天地,rtp://239.253.93.241:6419
抚宁电视[576p],rtp://239.253.93.201:6379
国学[576p],rtp://239.253.92.158:8071
邯山电视[576p],rtp://239.253.93.146:6314
纪实人文,rtp://239.253.92.99:6013
金色学堂,rtp://239.253.93.240:6418
金鹰纪实,rtp://239.253.92.103:6054
快乐垂钓,rtp://239.253.93.213:6391
宽城新闻[576p],rtp://239.253.93.117:6019
老故事[576p],rtp://239.253.92.132:8068
乐游,rtp://239.253.93.224:6402
梨园[576p],rtp://239.253.92.152:8086
临时直播频道2,rtp://239.253.92.21:6226
临时直播频道3,rtp://239.253.92.216:6227
临时直播频道4,rtp://239.253.92.219:6228
卢龙电视[576p],rtp://239.253.93.206:6384
慢直播11,rtp://239.253.94.11:6610
慢直播12,rtp://239.253.94.12:6611
慢直播16,rtp://239.253.94.16:6615
慢直播18,rtp://239.253.94.18:6617
慢直播19,rtp://239.253.94.19:6618
慢直播20,rtp://239.253.94.20:6619
