欢笑剧场,rtp://239.16.20.39:10390?$河南电信
都市剧场,rtp://239.16.10.232:2000?$河南电信
都市剧场,rtp://239.16.20.38:10380?$河南电信
河南卫视4K,rtp://239.16.20.199:11990?$河南电信
河南乡村,rtp://239.16.10.181:2000?$河南电信
河南乡村,rtp://239.16.20.195:11950?$河南电信
河南公共,rtp://239.16.10.126:2000?$河南电信
河南公共,rtp://239.16.20.170:11700?$河南电信
河南国际,rtp://239.16.10.182:2000?$河南电信
河南国际,rtp://239.16.20.196:11960?$河南电信
河南戏曲,rtp://239.16.10.148:2000?$河南电信
河南新闻,rtp://239.16.10.124:2000?$河南电信
河南新闻,rtp://239.16.20.168:11680?$河南电信
河南梨园,rtp://239.16.20.171:11710?$河南电信
河南武术世界,rtp://239.16.20.173:11730?$河南电信
河南民生,rtp://239.16.10.121:2000?$河南电信
河南民生,rtp://239.16.20.165:11650?$河南电信
河南法治,rtp://239.16.10.122:2000?$河南电信
河南法治,rtp://239.16.20.166:11660?$河南电信
河南睛彩中原,rtp://239.16.10.78:2000?$河南电信
河南睛彩中原,rtp://239.16.20.122:11220?$河南电信
河南移动戏曲,rtp://239.16.10.76:2000?$河南电信
河南移动戏曲,rtp://239.16.20.120:11200?$河南电信
河南移动电视,rtp://239.16.10.79:2000?$河南电信
河南移动电视,rtp://239.16.20.204:12040?$河南电信
河南都市,rtp://239.16.10.120:2000?$河南电信
河南都市,rtp://239.16.20.164:11640?$河南电信
河南功夫,rtp://239.16.10.150:2000?$河南电信
河南影视,rtp://239.16.10.123:2000?$河南电信
河南影视,rtp://239.16.20.167:11670?$河南电信
郑州影视戏曲,rtp://239.16.10.157:2000?$河南电信
郑州新闻综合,rtp://239.16.10.154:2000?$河南电信
郑州商都,rtp://239.16.10.155:2000?$河南电信
郑州文体,rtp://239.16.10.156:2000?$河南电信
郑州妇女儿童,rtp://239.16.10.158:2000?$河南电信
郑州都市生活,rtp://239.16.10.159:2000?$河南电信

