CCTV1, rtp://225.1.4.73:1102
CCTV2, rtp://225.1.4.74:1103
CCTV3, rtp://225.1.4.158:1194
CCTV4, rtp://225.1.5.30:1333
CCTV5, rtp://225.1.4.159:1195
CCTV5+, rtp://225.1.4.75:1104
CCTV6, rtp://225.1.4.160:1196
CCTV7, rtp://225.1.4.76:1105
CCTV8, rtp://225.1.4.161:1197
CCTV9, rtp://225.1.4.77:1106
CCTV11, rtp://225.1.4.215:1268
CCTV12, rtp://225.1.4.79:1108
CCTV13, rtp://225.1.4.113:1293
CCTV14, rtp://225.1.4.80:1109
CCTV15, rtp://225.1.4.216:1269
CCTV17, rtp://225.1.4.226:2506
河南卫视4K, rtp://225.1.4.254:1300
河南都市, rtp://225.1.4.52:1081
河南民生, rtp://225.1.4.53:1082
河南法治, rtp://225.1.4.54:1083
河南电视剧, rtp://225.1.4.55:1084
河南新闻, rtp://225.1.4.56:1085
河南公共, rtp://225.1.4.58:1087
河南乡村, rtp://225.1.4.120:1149
河南戏曲, rtp://225.1.4.99:1128
河南文博, rtp://225.1.4.100:1129
河南功夫, rtp://225.1.4.101:1130
河南睛彩中原, rtp://225.1.4.163:1203
河南移动戏曲, rtp://225.1.4.206:1254
河南移动频道, rtp://225.1.5.40:1350
河南健康中原, rtp://225.1.5.48:1358
北京卫视, rtp://225.1.4.81:1110
湖南卫视, rtp://225.1.4.82:1111
江苏卫视, rtp://225.1.4.83:1112
浙江卫视, rtp://225.1.4.84:1113
东方卫视, rtp://225.1.4.85:1114
天津卫视, rtp://225.1.4.86:1115
山东卫视, rtp://225.1.4.88:1117
安徽卫视, rtp://225.1.4.87:1116
湖北卫视, rtp://225.1.4.89:1118
深圳卫视, rtp://225.1.4.90:1119
黑龙江卫视, rtp://225.1.4.91:1120
贵州卫视, rtp://225.1.4.122:1302
河北卫视, rtp://225.1.4.123:1304
江西卫视, rtp://225.1.4.139:1305
四川卫视, rtp://225.1.4.151:1306
云南卫视, rtp://225.1.4.152:1307
重庆卫视, rtp://225.1.4.157:1308
广东卫视, rtp://225.1.4.166:1207
辽宁卫视, rtp://225.1.4.167:1208
吉林卫视, rtp://225.1.4.174:1309
海南卫视, rtp://225.1.4.195:1310
东南卫视, rtp://225.1.4.228:1274
CHC高清电影, rtp://225.1.4.207:1260
CHC动作电影, rtp://225.1.4.208:1261
CHC家庭影院, rtp://225.1.4.209:1262



