湖北公共新闻,rtp://239.69.1.40:9880?$湖北电信
湖北经视,rtp://239.69.1.41:9886?$湖北电信
湖北综合,rtp://239.69.1.42:9892?$湖北电信
湖北垄上,rtp://239.69.1.43:9898?$湖北电信
湖北影视,rtp://239.69.1.204:10866?$湖北电信
湖北生活,rtp://239.69.1.205:10872?$湖北电信
湖北教育,rtp://239.69.1.206:10878?$湖北电信
CCTV第一剧场,rtp://239.69.1.74:10084?$湖北电信
CCTV世界地理,rtp://239.69.1.91:10186?$湖北电信
爱上4K,rtp://239.69.1.141:10482?$湖北电信
CHC高清电影,rtp://239.69.1.241:11088?$湖北电信
CHC动作电影,rtp://239.69.1.242:11094?$湖北电信
CHC家庭影院,rtp://239.69.1.243:11100?$湖北电信
武汉一台新闻综合,rtp://239.69.1.145:10506?$湖北电信
武汉二台电视剧,rtp://239.69.1.146:10512?$湖北电信
武汉三台科技生活,rtp://239.69.1.251:11148?$湖北电信
武汉四台经济,rtp://239.69.1.35:9850?$湖北电信
武汉五台文体,rtp://239.69.1.147:10518?$湖北电信
武汉六台外语,rtp://239.69.1.36:9856?$湖北电信
武汉教育,rtp://239.69.1.60:9994?$湖北电信
