凤凰资讯,rtp://239.61.2.183:9086?$福建电信
凤凰中文,rtp://239.61.2.184:9092?$福建电信
福建综合,rtp://239.61.3.4:9542?$福建电信
福建公共频道,rtp://239.61.2.3:8012?$福建电信
福建新闻,rtp://239.61.2.4:8018?$福建电信
福建电视剧,rtp://239.61.2.5:8024?$福建电信
福建旅游,rtp://239.61.2.6:8030?$福建电信
福建经济生活,rtp://239.61.2.7:8036?$福建电信
福建体育,rtp://239.61.2.160:8948?$福建电信
福建少儿,rtp://239.61.2.9:8048?$福建电信
福建教育频道,rtp://239.61.2.173:9026?$福建电信
欢笑剧场,rtp://239.61.2.146:8864?$福建电信
都市剧场,rtp://239.61.2.149:8882?$福建电信
动作电影,rtp://239.61.3.16:9616?$福建电信
福建综合,rtp://239.61.2.1:8000?$福建电信
