都市青春,rtp://239.111.205.42:5140?$陕西电信
陕西生活,rtp://239.112.205.20:5140?$陕西电信
陕西影视,rtp://239.112.205.21:5140?$陕西电信
陕西公共,rtp://239.112.205.22:5140?$陕西电信
西部电影,rtp://239.111.205.41:5140?$陕西电信
新闻综合,rtp://239.111.205.242:5140?$陕西电信
都市频道,rtp://239.111.205.243:5140?$陕西电信
影视频道,rtp://239.112.205.175:5140?$陕西电信
丝路频道,rtp://239.112.205.176:5140?$陕西电信
西安教育,rtp://239.112.205.142:5140?$陕西电信
圆点生活,rtp://239.111.205.15:5140?$陕西电信
圆点影视,rtp://239.111.205.64:5140?$陕西电信
曲艺大观,rtp://239.111.205.31:5140?$陕西电信
优优宝贝,rtp://239.111.205.62:5140?$陕西电信
都市剧场,rtp://239.111.205.2:5140?$陕西电信
欢笑剧场,rtp://239.112.205.236:5140?$陕西电信
家庭影院,rtp://239.112.205.205:5140?$陕西电信
高清电影,rtp://239.112.205.206:5140?$陕西电信
动作电影,rtp://239.112.205.207:5140?$陕西电信
第一剧场,rtp://239.111.205.65:5140?$陕西电信
风云剧场,rtp://239.111.205.66:5140?$陕西电信
怀旧剧场,rtp://239.111.205.67:5140?$陕西电信
风云音乐,rtp://239.111.205.69:5140?$陕西电信
世界地理,rtp://239.111.205.71:5140?$陕西电信
女性时尚,rtp://239.111.205.72:5140?$陕西电信
金鹰纪实,rtp://239.112.205.203:5140?$陕西电信
金鹰卡通,rtp://239.112.205.136:5140?$陕西电信
优漫卡通,rtp://239.112.205.185:5140?$陕西电信
卡酷动画,rtp://239.112.205.138:5140?$陕西电信
嘉佳卡通,rtp://239.112.205.135:5140?$陕西电信

