港澳频道,#genre#
CNA新闻[1080p],https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
TVBS亚洲[1080p],http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8?zshijd$1920x1080
TVBS亚洲[1080p],http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8?zshijd$LR•IPV4『线路13』
TVBæç å°[720p],https://test.zapi.us.kg/?id=pearl
TVBç¿¡ç¿ å°[720p],https://test.zapi.us.kg/?id=feicui
安多卫视[720p],http://stream.qhbtv.com/adws/playlist.m3u8?_upt=be54a04d1719055140$LR•IPV4『线路11』
澳门莲花[1080p],http://php.jdshipin.com:8880/amlh.php
大愛1[720p],https://pulltv1.wanfudaluye.com/live/tv1.m3u8
大愛2[720p],https://pulltv2.wanfudaluye.com/live/tv2.m3u8
番薯111[1080p],http://61.216.67.119:1935/TWHG/E1/chunklist_w7058102.m3u8
番薯111[1080p],http://61.216.67.119:1935/TWHG/E1/chunklist_w705811302.m3u8
番薯[1080p],http://61.216.67.119:1935/TWHG/E1/chunklist_w70581102.m3u8
凤凰古城东关门[1080p],https://gcalic.v.myalicdn.com/gc/fhgcdgm_1/index.m3u8
凤凰古城南华山[1080p],https://gcalic.v.myalicdn.com/gc/fhgcdnhs_1/index.m3u8
凤凰资讯[1080p],http://13457610200.8866.org:2018/live/凤凰资讯/index.m3u8
福建漳州醉美沙滩翡翠湾[1080p],https://gcalic.v.myalicdn.com/gc/fcw03_1/index.m3u8
广西玉林大容山莲花山顶[1080p],https://gcalic.v.myalicdn.com/gc/drs01_1/index.m3u8
淮安无线[720p],http://live1.habctv.com/ysylsl/sd/live.m3u8?zjiangsd
明珠台[1080p],http://zw9999.cnstream.top:80/play/ubI0Nrlni6TwusjXuSxNxEzv3SLBhKEUmYG73triGDY/ts$LR•IPV4『线路11』
三立台湾[1080p],http://125.227.210.55:8160/VideoInput/play.ts
三立新闻[1080p],http://125.227.210.55:8162/VideoInput/play.ts
