G1,#genre#
郁可唯-水CCTV,http://em.21dtv.com/songs/60138121.mkv
戴佩妮+郁可唯-水CCTV,http://em.21dtv.com/songs/60137650.mkv
1022女声-永远的我们,http://em.21dtv.com/songs/60144646.mkv
1617组合-一路一起,http://em.21dtv.com/songs/60146997.mkv
1931女子偶像组合-爱神的方向,http://em.21dtv.com/songs/60138346.mkv
1931女子偶像组合-春雨的痕迹,http://em.21dtv.com/songs/60138342.mkv
1931女子偶像组合-二分之一,http://em.21dtv.com/songs/60138337.mkv
1931女子偶像组合-欢聚时刻1931,http://em.21dtv.com/songs/60138344.mkv
1931女子偶像组合-来自未来的嘱托,http://em.21dtv.com/songs/60138343.mkv
1931女子偶像组合-偶像很伟大,http://em.21dtv.com/songs/60138338.mkv
1931女子偶像组合-深秋的许愿池,http://em.21dtv.com/songs/60138345.mkv
1931女子偶像组合-圣诞告白日,http://em.21dtv.com/songs/60138339.mkv
1931女子偶像组合-盛夏星空,http://em.21dtv.com/songs/60138347.mkv
1931女子偶像组合-天际的声音,http://em.21dtv.com/songs/60138341.mkv
1931女子偶像组合-夏日的和弦,http://em.21dtv.com/songs/60138340.mkv
1931女子偶像组合-下一个天晴,http://em.21dtv.com/songs/60138334.mkv
1931女子偶像组合-与你的季节,http://em.21dtv.com/songs/60138335.mkv
1931女子偶像组合-中点,http://em.21dtv.com/songs/60138336.mkv
1931女子偶像组合-SummerLove,http://em.21dtv.com/songs/60138332.mkv
1931女子偶像组合-Tiramisu,http://em.21dtv.com/songs/60138333.mkv
1931组合-FEELINGGOOD,http://em.21dtv.com/songs/60145860.mkv
2.0T-叶问谁与争锋,http://em.21dtv.com/songs/60144431.mkv
2.0T-音雄本色,http://em.21dtv.com/songs/60144433.mkv
2.0T-音雄联盟,http://em.21dtv.com/songs/60144434.mkv
2.0T-致敬经典,http://em.21dtv.com/songs/60144432.mkv
24K-Still24K,http://em.21dtv.com/songs/60138348.mkv
3ASIC+JONYJ-套路,http://em.21dtv.com/songs/60145861.mkv
51-假象的圆满,http://em.21dtv.com/songs/60143036.mkv
51-喇ㄉ一赛,http://em.21dtv.com/songs/60143038.mkv
51-没有我自己,http://em.21dtv.com/songs/60143037.mkv
51-徒步爱情,http://em.21dtv.com/songs/60143039.mkv
7妹+小可-完美心动纯电,http://em.21dtv.com/songs/60144437.mkv
7妹-钢琴电音,http://em.21dtv.com/songs/60144444.mkv
7妹-钢琴抒情,http://em.21dtv.com/songs/60144443.mkv
7妹-嗨翻2016,http://em.21dtv.com/songs/60144440.mkv
7妹-立场7妹,http://em.21dtv.com/songs/60144442.mkv
7妹-哦咧咧哦啦啦,http://em.21dtv.com/songs/60144439.mkv
7妹-天籁之音,http://em.21dtv.com/songs/60144441.mkv
7妹-震动拉锯火火火,http://em.21dtv.com/songs/60144445.mkv
7妹-3D环绕车载电子,http://em.21dtv.com/songs/60144438.mkv
7OBU-LIFE,http://em.21dtv.com/songs/60144435.mkv
94836部队+机务一中队-第一之歌,http://em.21dtv.com/songs/60143040.mkv
A-TEEN,http://em.21dtv.com/songs/60144446.mkv
A.T女神-做自己的女神,http://em.21dtv.com/songs/60138349.mkv
A2A-只要在一起,http://em.21dtv.com/songs/60143042.mkv
ACE组合-食味江湖,http://em.21dtv.com/songs/60144648.mkv
ADELE-makeyoufeelmylove演唱会,http://em.21dtv.com/songs/60067940.mkv
AFTER10-层压时代,http://em.21dtv.com/songs/60145865.mkv
AGAINSTTHECURRENT-LEGENDSNEVERDIE,http://em.21dtv.com/songs/60146999.mkv
AKA.IMP小鬼+朱星杰-BINGOCASH,http://em.21dtv.com/songs/60147000.mkv
AKA.IMP小鬼-新生代,http://em.21dtv.com/songs/60144649.mkv
AKA.imp小鬼-Rap口播1,http://em.21dtv.com/songs/60143043.mkv
AKI阿杰-闲云志,http://em.21dtv.com/songs/60145866.mkv
AKON-RIGHTNOW,http://em.21dtv.com/songs/60144447.mkv
ALAN-美人谷,http://em.21dtv.com/songs/60147002.mkv
ALANWALKER+NOAHCYRUS+DIGITALFARMANIMALS-ALLFALLSDOWN,http://em.21dtv.com/songs/60147001.mkv
ALANWALKER-FADE,http://em.21dtv.com/songs/60144448.mkv
ALANWALKER-FADE1,http://em.21dtv.com/songs/60144449.mkv
ALEX-首都机场,http://em.21dtv.com/songs/60145868.mkv
ALIN+妖精放了我爷爷-DON\\\'TBREAKMYHEART,http://em.21dtv.com/songs/60145864.mkv
ALIN-光之海,http://em.21dtv.com/songs/60145863.mkv
ALIN-伤痕,http://em.21dtv.com/songs/60145862.mkv
ALIN-最佳男主角,http://em.21dtv.com/songs/60146998.mkv
ALONG+7妹-7妹最新混音慢摇,http://em.21dtv.com/songs/60144450.mkv
ALin+J.Sheon-你点的歌救了我,http://em.21dtv.com/songs/60143041.mkv
ANNALISA-DIREZIONELAVITA,http://em.21dtv.com/songs/60145869.mkv
APINK-HUSH,http://em.21dtv.com/songs/60144451.mkv
ARIANAGRANDE+IGGYAZALEA-PROBLEM,http://em.21dtv.com/songs/60144452.mkv
ARIANAGRANDE+ZEDD-BREAKFREE,http://em.21dtv.com/songs/60144453.mkv
ARMINVANBUUREN+TREVORGUTHRIE-THISISWHATITFEELSLIKE,http://em.21dtv.com/songs/60144454.mkv
ARMINVANBUUREN-PINGPONG,http://em.21dtv.com/songs/60144455.mkv
AT17+林一峰-朦胧夜雨里演唱会,http://em.21dtv.com/songs/60029444.mkv
AT17-GIRLSGIRLSGIRL,http://em.21dtv.com/songs/60144651.mkv
ATB+CRISTINASOTO-TWISTEDLOVE,http://em.21dtv.com/songs/60144456.mkv
ATF-我是极光,http://em.21dtv.com/songs/60143044.mkv
AVICII-WAITINGFORLOVE,http://em.21dtv.com/songs/60144457.mkv
AVRILLAVIGNE-HERE\\\'STONEVERGROWINGUP,http://em.21dtv.com/songs/60144458.mkv
AVRILLAVIGNE-INNOCENCE,http://em.21dtv.com/songs/60144459.mkv
AVRILLAVIGNE-WHENYOU\\\'REGONE,http://em.21dtv.com/songs/60144460.mkv
AXERO+BILLYSAX-TRIBE,http://em.21dtv.com/songs/60144461.mkv
AZA微唱团-从别后,http://em.21dtv.com/songs/60145870.mkv
Aga-吃定我,http://em.21dtv.com/songs/60138350.mkv
Alin-一直走,http://em.21dtv.com/songs/60138351.mkv
Anly-EMERGENCY,http://em.21dtv.com/songs/60138352.mkv
Apink-FIVE,http://em.21dtv.com/songs/60138353.mkv
Arie-我不是那个女孩,http://em.21dtv.com/songs/60138354.mkv
ArtistsforGrenfell-BridgeOverTroubledWater,http://em.21dtv.com/songs/60138355.mkv
Avicii-WaitingForLove,http://em.21dtv.com/songs/60143045.mkv
B.Gs-我们的小宇宙,http://em.21dtv.com/songs/60143046.mkv
B1A4-YOUAREMYBABY,http://em.21dtv.com/songs/60147003.mkv
BAKERIE-NIGOISMYDAD,http://em.21dtv.com/songs/60144652.mkv
BASSHUNTER-ANGELINTHENIGHT,http://em.21dtv.com/songs/60144462.mkv
BC221-如果你能感同我的身受,http://em.21dtv.com/songs/60145871.mkv
BEBEREXHA+FLORIDAGEORGIALINE-MEANTTOBE,http://em.21dtv.com/songs/60147004.mkv
BEJ48-百变惊叹号,http://em.21dtv.com/songs/60145873.mkv
BEJ48-光芒,http://em.21dtv.com/songs/60145872.mkv
BENNYBENASSI+SERJTANKIAN-SHOOTINGHELICOPTER,http://em.21dtv.com/songs/60144463.mkv
BEYONCÉ-HALO,http://em.21dtv.com/songs/60144464.mkv
BEYOND-请将手放开,http://em.21dtv.com/songs/60035529.mkv
BIGBANG-OHMABABY,http://em.21dtv.com/songs/60144465.mkv
BIGDOG王可-继续,http://em.21dtv.com/songs/60145874.mkv
BIHAO-看,http://em.21dtv.com/songs/60145876.mkv
BIHAO-明明,http://em.21dtv.com/songs/60145875.mkv
BIHAO-陪着你,http://em.21dtv.com/songs/60145877.mkv
BINGO-环球圣诞,http://em.21dtv.com/songs/60144653.mkv
BINGOPLAYERS-KNOCKYOUOUT,http://em.21dtv.com/songs/60144466.mkv
BINGOPLAYERS-OUTOFMYMIND,http://em.21dtv.com/songs/60144467.mkv
BLACKPINK-PlayingWithFire,http://em.21dtv.com/songs/60143048.mkv
BLASTER-码头的辛酸,http://em.21dtv.com/songs/60144654.mkv
BLINGBOOM-INEEDYUH,http://em.21dtv.com/songs/60147005.mkv
BLUE-ALLRISE,http://em.21dtv.com/songs/60144468.mkv
BOBO-红尘一梦,http://em.21dtv.com/songs/60147011.mkv
BOBO-灰姑娘的伤,http://em.21dtv.com/songs/60147009.mkv
BOBO-留声,http://em.21dtv.com/songs/60147010.mkv
BOBO-茉莉,http://em.21dtv.com/songs/60147012.mkv
BOBO-请安静听我唱完这首歌,http://em.21dtv.com/songs/60147013.mkv
BOBO-深宫,http://em.21dtv.com/songs/60147008.mkv
BOBO-雪蝴蝶,http://em.21dtv.com/songs/60147014.mkv
BOBO-樱花雨,http://em.21dtv.com/songs/60147007.mkv
BOBO-与爱无关,http://em.21dtv.com/songs/60138360.mkv
BOBO-月亮不能代表我的心,http://em.21dtv.com/songs/60147006.mkv
BONGGU-非你不可,http://em.21dtv.com/songs/60147015.mkv
BOYSANDGIRLS组合-画梦,http://em.21dtv.com/songs/60145879.mkv
BOYSTORY-HOWORU,http://em.21dtv.com/songs/60144655.mkv
BRANT.B小白+DP-WAITING,http://em.21dtv.com/songs/60144656.mkv
BRITNEYSPEARS+GIORGIOMORODER-TOM\\\'SDINER,http://em.21dtv.com/songs/60144469.mkv
BRITNEYSPEARS-IWANNAGO,http://em.21dtv.com/songs/60144470.mkv
BRITNEYSPEARS-LUCKY,http://em.21dtv.com/songs/60144471.mkv
Bambino-MammaMia,http://em.21dtv.com/songs/60138356.mkv
Beast-Butterfly,http://em.21dtv.com/songs/60138357.mkv
Ben-MyAll,http://em.21dtv.com/songs/60138358.mkv
Bingo-IKnowWhatYouWant,http://em.21dtv.com/songs/60138359.mkv
Bingo-IKnowWhatYouWantMTV,http://em.21dtv.com/songs/60143047.mkv
BrAnT.B+辛巴-ZeroToHero,http://em.21dtv.com/songs/60143049.mkv
BraveGirls-Yoohoo,http://em.21dtv.com/songs/60138361.mkv
Bridge-老大,http://em.21dtv.com/songs/60143050.mkv
BrunoMars-VersaceOnTheFloor,http://em.21dtv.com/songs/60138362.mkv
CALLSTAR-此刻无价,http://em.21dtv.com/songs/60145880.mkv
CALLSTAR-灵魂进化,http://em.21dtv.com/songs/60138363.mkv
CALVINHARRIS+ELLIEGOUING-OUTSIDE,http://em.21dtv.com/songs/60144472.mkv
CALVINHARRIS+JOHNNEWMAN-BLAME,http://em.21dtv.com/songs/60144473.mkv
CALVINHARRIS+KEHLANI+LILYACHTY-FAKINGIT,http://em.21dtv.com/songs/60147016.mkv
CAT雨馨-顺流而下,http://em.21dtv.com/songs/60147017.mkv
CELINEDION-ONEHEART,http://em.21dtv.com/songs/60145881.mkv
CHARICE-LOUDER,http://em.21dtv.com/songs/60144474.mkv
CHARLIEPUTH-HOWLONG,http://em.21dtv.com/songs/60145882.mkv
CHERRY璐璐-卑微者,http://em.21dtv.com/songs/60145883.mkv
CHICKNUP-彩虹森林,http://em.21dtv.com/songs/60144657.mkv
CLARIS-SHIORI,http://em.21dtv.com/songs/60145884.mkv
