央视频道,#genre#
CCTV 4K,http://182.150.171.191:5555/rtp/239.93.42.42:5140?
4K乐享超清,http://182.150.171.191:5555/rtp/239.93.0.43:5140?
爱上4K,http://182.150.171.191:5555/rtp/239.93.0.97:5140?
百事通4K测试[5.1环绕声],http://182.150.171.191:5555/rtp/239.93.42.75:5140?
欢笑剧场4K,http://117.13.22.65:4022/rtp/225.1.1.152:5002?
欢笑剧场4K,http://117.9.24.19:8686/rtp/225.1.1.152:5002?
欢笑剧场4K,http://182.150.171.191:5555/rtp/239.93.0.145:5140?
欢笑剧场4K,http://27.184.67.87:1024/rtp/239.254.201.164:6355?
欢笑剧场4K,http://27.188.109.146:9009/rtp/239.254.201.164:6355?
搜狐4K,http://117.13.22.65:4022/rtp/225.1.2.190:5002?
搜狐4K,http://117.9.24.19:8686/rtp/225.1.2.190:5002?
绚影4K,http://182.150.171.191:5555/rtp/239.93.42.33:5140?
中录动漫4K,http://182.150.171.191:5555/rtp/239.93.1.188:5140?
CCTV1,http://117.9.24.19:8686/rtp/225.1.1.212:5002?
CCTV1[5.1环绕声],http://117.9.24.19:8686/rtp/225.1.1.120:5002?
CCTV1,http://117.13.22.65:4022/rtp/225.1.1.212:5002?
CCTV1[5.1环绕声],http://117.13.22.65:4022/rtp/225.1.1.120:5002?
CCTV1,http://36.40.236.141:9999/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV1,http://171.124.80.242:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://182.117.136.55:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://61.136.172.236:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://171.108.239.127:8181/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://171.108.239.129:8181/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://171.108.239.128:8181/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://171.108.239.124:8181/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://117.27.190.42:9998/tsfile/live/23232_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2[5.1环绕声],http://117.9.24.19:8686/rtp/225.1.1.133:5002?
CCTV2[5.1环绕声],http://117.13.22.65:4022/rtp/225.1.1.133:5002?
CCTV2,http://36.40.236.141:9999/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV2,http://171.117.43.18:9999/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://171.124.80.242:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://182.117.136.55:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://171.108.239.127:8181/tsfile/live/1028_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://61.136.172.236:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://171.108.239.129:8181/tsfile/live/1028_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://171.108.239.124:8181/tsfile/live/1028_1.m3u8?key=txiptv&playlive=1&authid=0
