央视数字&爬虫,#genre#
CHC动作电影,http://171.213.131.203:9100/rtp/239.93.42.7:5140
CHC家庭影院,http://171.213.131.203:9100/rtp/239.93.42.6:5140
CHC影迷电影,http://171.213.131.203:9100/rtp/239.93.42.5:5140
数字频道&爬虫,#genre#
IHOT爱动漫,http://171.213.131.203:9100/rtp/239.93.42.23:5140
IHOT爱怀旧,http://171.213.131.203:9100/rtp/239.93.42.21:5140
IHOT爱经典,http://171.213.131.203:9100/rtp/239.93.42.13:5140
IHOT爱科幻,http://171.213.131.203:9100/rtp/239.93.42.10:5140
IHOT爱青春,http://171.213.131.203:9100/rtp/239.93.42.16:5140
IHOT爱悬疑,http://171.213.131.203:9100/rtp/239.93.42.12:5140
IHOT爱幼教,http://171.213.131.203:9100/rtp/239.93.42.17:5140
IHOT爱院线,http://171.213.131.203:9100/rtp/239.93.42.11:5140
