港澳频道,#genre#
TVB星河,http://171.108.239.115:8181/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
TVB星河,http://171.108.239.116:8181/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
TVB星河,http://171.110.10.10:8181/tsfile/live/1073_1.m3u8?key=txiptv&playlive=1&authid=0
TVB星河B1,http://171.110.42.134:8181/tsfile/live/1063_1.m3u8?key=txiptv&playlive=1&authid=0
TVB2翡翠,http://120.84.121.118:808/hls/25/index.m3u8
TVB2翡翠,http://120.84.121.223:808/hls/25/index.m3u8
TVB2翡翠,http://120.84.121.3:808/hls/25/index.m3u8
TVB3明珠,http://120.84.121.118:808/hls/26/index.m3u8
TVB3明珠,http://120.84.121.223:808/hls/26/index.m3u8
TVB3明珠,http://120.84.121.3:808/hls/26/index.m3u8
东森超视,http://171.108.239.115:8181/tsfile/live/1023_1.m3u8?key=txiptv&playlive=1&authid=0
东森超视,http://171.108.239.116:8181/tsfile/live/1023_1.m3u8?key=txiptv&playlive=1&authid=0
东森电影,http://171.108.239.115:8181/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
东森电影,http://171.108.239.116:8181/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
东森电影台,http://120.84.121.118:808/hls/32/index.m3u8
东森电影台,http://120.84.121.223:808/hls/32/index.m3u8
东森电影台,http://120.84.121.3:808/hls/32/index.m3u8
东森洋片,http://171.108.239.115:8181/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&authid=0
东森洋片,http://171.108.239.116:8181/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&authid=0
东森洋片台,http://120.84.121.118:808/hls/33/index.m3u8
东森洋片台,http://120.84.121.223:808/hls/33/index.m3u8
东森洋片台,http://120.84.121.3:808/hls/33/index.m3u8
动物杂技,http://171.108.239.115:8181/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
动物杂技,http://171.108.239.116:8181/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
动物杂技,http://171.110.10.10:8181/tsfile/live/1085_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰香港,http://120.84.121.118:808/hls/81/index.m3u8
凤凰香港,http://120.84.121.223:808/hls/81/index.m3u8
凤凰香港,http://120.84.121.3:808/hls/81/index.m3u8
凤凰香港,http://171.108.239.115:8181/tsfile/live/1025_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰香港,http://171.108.239.116:8181/tsfile/live/1025_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰香港,http://171.110.10.10:8181/tsfile/live/1084_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰中文,http://120.84.121.118:808/hls/29/index.m3u8
凤凰中文,http://120.84.121.223:808/hls/29/index.m3u8
凤凰中文,http://120.84.121.3:808/hls/29/index.m3u8
凤凰中文,http://171.110.10.10:8181/tsfile/live/1083_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰资讯,http://120.84.121.118:808/hls/28/index.m3u8
凤凰资讯,http://120.84.121.223:808/hls/28/index.m3u8
凤凰资讯,http://120.84.121.3:808/hls/28/index.m3u8
凤凰资讯,http://171.108.239.115:8181/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰资讯,http://171.108.239.116:8181/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰资讯,http://171.110.10.10:8181/tsfile/live/1082_1.m3u8?key=txiptv&playlive=1&authid=0
广场舞,http://171.108.239.115:8181/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&authid=0
广场舞,http://171.108.239.116:8181/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&authid=0
酒店MV,http://171.108.239.115:8181/tsfile/live/1050_1.m3u8?key=txiptv&playlive=1&authid=0
酒店MV,http://171.108.239.116:8181/tsfile/live/1050_1.m3u8?key=txiptv&playlive=1&authid=0
酒店影视1,http://171.108.239.115:8181/tsfile/live/1054_1.m3u8?key=txiptv&playlive=1&authid=0
酒店影视1,http://171.108.239.116:8181/tsfile/live/1054_1.m3u8?key=txiptv&playlive=1&authid=0
酒店影视2,http://171.108.239.115:8181/tsfile/live/1055_1.m3u8?key=txiptv&playlive=1&authid=0
酒店影视2,http://171.108.239.116:8181/tsfile/live/1055_1.m3u8?key=txiptv&playlive=1&authid=0
酒店影视3,http://171.108.239.115:8181/tsfile/live/1056_1.m3u8?key=txiptv&playlive=1&authid=0
酒店影视3,http://171.108.239.116:8181/tsfile/live/1056_1.m3u8?key=txiptv&playlive=1&authid=0
龙祥电影,http://120.84.121.118:808/hls/35/index.m3u8
龙祥电影,http://120.84.121.223:808/hls/35/index.m3u8
龙祥电影,http://120.84.121.3:808/hls/35/index.m3u8
龙祥电影,http://171.108.239.115:8181/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
龙祥电影,http://171.108.239.116:8181/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
私人影院,http://171.108.239.115:8181/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0
私人影院,http://171.108.239.116:8181/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0
天映电影,http://120.84.121.118:808/hls/85/index.m3u8
天映电影,http://120.84.121.223:808/hls/85/index.m3u8
天映电影,http://120.84.121.3:808/hls/85/index.m3u8
天映电影,http://171.108.239.115:8181/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
天映电影,http://171.108.239.116:8181/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
珠江台,http://171.108.239.115:8181/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
珠江台,http://171.108.239.116:8181/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
珠江台,http://171.110.10.10:8181/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
珠江台,http://171.110.10.10:8181/tsfile/live/1060_1.m3u8?key=txiptv&playlive=1&authid=0
珠江台,http://171.110.42.134:8181/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&authid=0
珠江台,http://171.110.42.134:8181/tsfile/live/1022_1.m3u8?key=txiptv&playlive=0&authid=0
珠江台（B3）,http://171.110.42.134:8181/tsfile/live/1065_1.m3u8?key=txiptv&playlive=1&authid=0

央视频道,#genre#
爱上4K,http://171.110.10.10:8181/tsfile/live/1068_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://120.84.121.3:808/hls/101/index.m3u8
CCTV1,http://120.84.121.118:808/hls/101/index.m3u8
CCTV1,http://120.84.121.223:808/hls/101/index.m3u8
CCTV1,http://106.46.35.133:808/hls/1/index.m3u8
CCTV1,http://14.155.190.4:8888/hls/1/index.m3u8
